entry|filename|title|author|year|path|count
392|10520.txt|The Compleat Cook|Anonymous given as W M|1655|_theData|1
708|10847.txt|The Maids Tragedy|Francis Beaumont and John Fletcher|1686|_theData|1
712|10850-8.txt|Philaster|Francis Beaumont and John Fletcher|1628|_theData|2
849|10989.txt|Our Saviour|Anonymous|1653|_theData|1
967|1112.txt|Romeo and Juliet|William Shakespeare|1632|_theData|2
1886|12222.txt|The Faithful Shepherdess|Francis Beaumont and John Fletcher|1665|_theData|1
1964|12312.txt|A King, and No King|Francis Beaumont and John Fletcher|1639|_theData|1
1992|12343.txt|The Art of Iugling or Legerdemaine|Samuel Rid|1614|_theData|1
2798|13265-8.txt|A Book of Fruits and Flowers|Anonymous|1653|_theData|2
3440|14015.txt|The Discovery of Witches|Matthew Hopkins|1616|_theData|1
3713|14346-8.txt|An Historical Relation Of The Island Ceylon In The East Indies|Robert Knox|1681|_theData|2
4275|14999-8.txt|A Briefe Introduction to Geography|William  Pemble|1630|_theData|2
4688|15491-8.txt|Micrographia|Robert Hooke|1667|_theData|2
5499|16417-0.txt|Spadacrene Anglica|Edmund Deane|1649|_theData|3
5505|16423-8.txt|A Coal From The Altar, To Kindle The Holy Fire of Zeale|Samuel Ward|1616|_theData|2
6215|17209-8.txt|A Treatise of Witchcraft|Alexander Roberts|1616|_theData|2
6261|17273-8.txt|An Exposition of the Last Psalme|John Boys|1615|_theData|2
6601|17713-0.txt|Ars grammaticae Iaponicae linguae|Diego Collado|1632|_theData|1
6725|17894-8.txt|Franco-Gallia|Francis Hotoman|1665|_theData|2
9686|21271-8.txt|Chocolate: or, An Indian Drinke|Antonio Colmenero de Ledesma|1652|_theData|2
10339|2199.txt|The Iliad|Homer|1611|_theData|2
11081|22914-8.txt|The Sceptical Chymist|Robert Boyle|1680|_theData|2
11116|22973-8.txt|The English Husbandman|Gervase Markham|1614|_theData|2
11630|23528.txt|Carlo|Anonymous|1676|_theData|1
11733|23639-8.txt|Plutarch's Morals|Plutarch|1691|_theData|2
12640|24827-8.txt|Rita|Laura E Richards|1637|_theData|2
13103|2543.txt|Polyeucte|Pierre Corneille|1648|_theData|1
15113|2801-0.txt|The Commonwealth of Oceana|James Harrington|1658|_theData|1
15200|28108-8.txt|The Pennyles Pilgrimage|John Taylor|1618|_theData|2
15579|2854.txt|Sir Francis Drake Revived|Philip Nichols|1652|_theData|1
15974|29058-8.txt|A New Orchard And Garden|William Lawson|1653|_theData|2
16488|29622.txt|The Book of Common Prayer|Church of England|1681|_theData|1
17096|30327-0.txt|Democritus Platonissans|Henry More|1646|_theData|3
18310|31729-8.txt|The Apple|Various|1637|_theData|2
18463|31895.txt|In and Out of Rebel Prisons|Lieut A Alonzo Cooper|1688|_theData|1
20072|33619-8.txt|Maori and Settler|G A Henty|1626|_theData|2
20183|33737-8.txt|The Curtezan unmasked|Annonymous a Spiritual Physician|1664|_theData|2
20556|34157-8.txt|The Compleat Surgeon, or the Whole Art of Surgery Explain'd in a Most Familiar Method|Charles Gabriel Le Clerc|1696|_theData|2
23128|37137-8.txt|A Hind Let Loose|Alexander Shields|1687|_theData|2
23518|37546-8.txt|The Female Wits|Anonymous|1668|_theData|2
23615|37659-0.txt|Vondel's Lucifer|Joost van den Vondel|1654|_theData|3
26455|4081.txt|The Alchemist|Ben Jonson|1609|_theData|2
27492|41908-0.txt|The Visions of Dom Francisco de Quevedo Villegas|Dom Francisco de Quevedo|1678|_theData|1
28409|42959-0.txt|The Survey of London|John Stow|1633|_theData|3
29883|44655-0.txt|A Christian Directory|Baxter Richard|1673|_theData|3
30212|45050-8.txt|The Lady of Pleasure|James Shirley|1637|_theData|2
33748|4937.txt|Hudibras|Samuel Butler|1682|_theData|1
34400|50143-0.txt|A Collection of Emblemes, Ancient and Moderne|George Wither|1634|_theData|1
36408|52639-0.txt|Moses and Aaron|Thomas Goodwin|1628|_theData|1
39376|56200-0.txt|Queen Anna's New World of Words|John Florio|1611|_theData|1
43087|6043.txt|The Spanish Tragedie|Thomas Kyd|1602|_theData|2
43223|608.txt|Areopagitica|John Milton|1644|_theData|1
44083|7009-8.txt|Monsieur de Pourceaugnac|Molière|1693|_theData|2
44091|7018.txt|A Collection of Scotch Proverbs|Anonymous|1663|_theData|2
