entry|filename|title|author|year|path|count
6|100-0.txt|The Complete Works of William Shakespeare|William Shakespeare|1863|_theData|1
16|10009.txt|Wild Northern Scenes|S H Hammond|1857|_theData|1
34|10026-8.txt|The Mirror of Literature, Amusement, and Instruction, Vol. 10,|Various|1839|_theData|11
51|10043-8.txt|Klondyke Nuggets|Joseph Ladue|1897|_theData|2
57|10049.txt|Old Lady Mary|Margaret O Wilson Oliphant|1884|_theData|1
59|10050.txt|A Little Pilgrim|Margaret O Wilson Oliphant|1882|_theData|2
61|10052-0.txt|The Open Door, and the Portrait.|Margaret O Wilson Oliphant|1881|_theData|3
68|10062-8.txt|The Iron Game|Henry Francis Keenan|1891|_theData|2
77|10070.txt|Stories of Great Americans for Little Americans|Edward Eggleston|1895|_theData|1
94|10088-8.txt|Thaumaturgia|An Oxonian|1835|_theData|2
99|10093.txt|Gutta-Percha Willie|George MacDonald|1880|_theData|1
122|10118-8.txt|The Folk-lore of Plants|T F ThiseltonDyer|1889|_theData|2
123|10119-8.txt|Adonais|Shelley|1821|_theData|2
125|10121-8.txt|Oriental Literature|Anonymous|1822|_theData|2
130|10126.txt|Home-Life of the Lancashire Factory Folk during the Cotton Famine|Edwin Waugh|1867|_theData|1
137|10132-8.txt|The Sowers|Henry Seton Merriman|1899|_theData|2
141|10136-8.txt|The Book of Household Management|Mrs Isabella Beeton|1861|_theData|2
146|10141.txt|A Discourse on the Life, Character and Writings of Gulian Crommelin|William Cullen Bryant|1870|_theData|1
154|10149-8.txt|Home as Found|James Fenimore Cooper|1884|_theData|2
164|10165-8.txt|Across the Zodiac|Percy Greg|1880|_theData|2
167|1018-0.txt|The Water-Babies|Charles Kingsley|1863|_theData|7
168|1019.txt|Poems|AKA Charlotte Emily and Anne Bronte Currer Ellis and Acton Bell|1812|_theData|112
184|10222-8.txt|The Pilgrims of New England|Mrs J B Webb|1855|_theData|2
188|1023.txt|Bleak House|Charles Dickens|1853|_theData|1
189|10234-8.txt|Old Creole Days|George Washington Cable|1883|_theData|2
191|10251.txt|Town Geology|Charles Kingsley|1873|_theData|1
197|10274.txt|Sermons on Evil-Speaking|Isaac Barrow|1887|_theData|1
204|1030-0.txt|The Cavalier Songs and Ballads of England|Various|1863|_theData|1
219|10325.txt|The Gospel of the Pentateuch|Charles Kingsley|1863|_theData|1
225|10331-8.txt|The Mirror of Literature, Amusement, and Instruction|Various|1823|_theData|197
231|10339-0.txt|An Antarctic Mystery|Jules Verne|1899|_theData|2
236|10345-8.txt|Domestic Manners of the Americans|Fanny Trollope|1832|_theData|2
252|10363-8.txt|The Bravo|J Fenimore Cooper|1831|_theData|2
253|10364.txt|Yeast: A Problem|Charles Kingsley|1851|_theData|1
254|10365-8.txt|Precaution|James Fenimore Cooper|1861|_theData|1
264|10375-8.txt|England's Antiphon|George MacDonald|1868|_theData|2
266|10377-8.txt|The Evil Guest|J Sheridan Le Fanu|1895|_theData|2
267|10378-8.txt|Autobiography|John Stuart Mill|1854|_theData|3
271|10381-8.txt|The History of a Crime|Victor Hugo|1869|_theData|2
274|10386-8.txt|Thoughts On The Necessity Of Improving The Condition Of The Slaves|Thomas Clarkson|1823|_theData|2
278|1039.txt|Missionary Travels and Researches in South Africa|David Livingstone|1857|_theData|1
288|10399.txt|The Story of Louis Riel: The Rebel Chief|Joseph Edmond Collins|1885|_theData|1
291|10401-8.txt|Personal Memoir Of Daniel Drayton|Daniel Drayton|1853|_theData|2
302|10420.txt|The Principles of Success in Literature|George Henry Lewes|1891|_theData|1
309|10431.txt|Thirty Years a Slave|Louis Hughes|1896|_theData|1
311|10433.txt|A Flock of Girls and Boys|Nora Perry|1895|_theData|1
312|10434-8.txt|Wyandotte|James Fenimore Cooper|1892|_theData|2
326|10448.txt|The Anti-Slavery Harp|Various|1860|_theData|1
327|10449.txt|Burnham Breaker|Homer Greene|1888|_theData|1
332|10453-8.txt|A Practical Physiology|Albert F Blaisdell|1897|_theData|3
338|10459.txt|The Celtic Twilight|W B Yeats|1893|_theData|1
341|10461.txt|Journals of Australian Explorations|A C and F T Gregory|1884|_theData|1
346|10466-8.txt|Little Saint Elizabeth and Other Stories|Frances Hodgson Burnett|1890|_theData|2
374|10495-8.txt|Under King Constantine|Katrina Trask|1892|_theData|2
379|105-8.txt|Persuasion|Jane Austen|1898|_theData|3
383|1051.txt|Sartor Resartus|Thomas Carlyle|1849|_theData|1
390|10519.txt|Mercy Philbrick's Choice|Helen Hunt Jackson|1892|_theData|1
395|10523-8.txt|Alcestis|Euripides|1880|_theData|2
410|1054-0.txt|A Collection of Ballads|Andrew Lang|1897|_theData|2
416|10545-8.txt|The Sea Lions|James Fenimore Cooper|1849|_theData|2
417|10546-8.txt|So Runs the World|Henryk Sienkiewicz|1898|_theData|2
419|10549-8.txt|A Romance of the Republic|Lydia Maria Francis Child|1867|_theData|2
426|10555-8.txt|The Life of Marie Antoinette, Queen of France|Charles Duke Yonge|1876|_theData|2
430|10560-8.txt|The Last of the Foresters|John Esten Cooke|1856|_theData|2
463|10591-8.txt|A Lie Never Justifiable|H Clay Trumbull|1893|_theData|2
473|1060-0.txt|Grass of Parnassus|Andrew Lang|1889|_theData|2
483|1061.txt|Myths and Myth-Makers|John Fiske|1874|_theData|1
484|10610-8.txt|Letters and Journals of James, Eighth Earl of Elgin|James Eighth Earl of Elgin|1872|_theData|2
493|10619-8.txt|An Englishman's Travels in America|John Benwell|1853|_theData|2
499|10625-0.txt|A Concise Dictionary of Middle English|A L Mayhew and Walter W Skeat|1888|_theData|5
502|10628.txt|Andrew Golding|Annie E Keeling|1886|_theData|1
508|10633-8.txt|The History of the Rise, Progress and Accomplishment of the|Thomas Clarkson|1839|_theData|2
511|10637-8.txt|The Uprising of a Great People|Count Agénor de Gasparin|1861|_theData|2
525|1065.txt|The Raven|Edgar Allan Poe|1898|_theData|5
536|1066-0.txt|William the Conqueror|Edward Augustus Freeman|1871|_theData|5
545|10669.txt|At Last|Charles Kingsley|1871|_theData|5
547|10670.txt|With Zola in England|Ernest Alfred Vizetelly|1899|_theData|1
549|10672-8.txt|Game and Playe of the Chesse|Caxton|1883|_theData|2
554|10677-8.txt|Biographical Memorials of James Oglethorpe|Thaddeus Mason Harris|1841|_theData|2
555|10679.txt|The Story of the Other Wise Man|Henry van Dyke|1896|_theData|3
563|10691-8.txt|Select Speeches of Kossuth|Kossuth|1854|_theData|2
571|107-8.txt|Far from the Madding Crowd|Thomas Hardy|1874|_theData|4
582|10710-8.txt|Problems of Poverty|John A Hobson|1891|_theData|2
584|10712.txt|White Jacket|Herman Melville|1850|_theData|2
586|10714-8.txt|The Art of Literature|Arthur Schopenhauer|1891|_theData|2
587|10715-8.txt|Counsels and Maxims|Arthur Schopenhauer|1890|_theData|2
591|10720-0.txt|Doctor Pascal|Emile Zola|1892|_theData|2
593|10723.txt|Betty's Bright Idea; Deacon Pitkin's Farm; and The First Christmas|Harriet Beecher Stowe|1876|_theData|1
614|10744-8.txt|Men, Women, and Ghosts|Elizabeth Stuart Phelps|1869|_theData|3
625|10756-8.txt|Between Whiles|Helen Hunt Jackson|1887|_theData|2
630|10760-8.txt|A Florida Sketch-Book|Bradford Torrey|1895|_theData|3
632|10762-8.txt|Impressions of Theophrastus Such|George Eliot|1879|_theData|2
634|10765-8.txt|Thrilling Adventures by Land and Sea|James O Brayman|1852|_theData|2
644|10777.txt|Probable Sons|Amy LeFeuvre|1896|_theData|1
663|10794-8.txt|Dahcotah|Mary Eastman|1849|_theData|2
666|10797-8.txt|The Wits and Beaux of Society|Grace  Philip Wharton|1861|_theData|4
683|10812-8.txt|The Worshipper of the Image|Richard Le Gallienne|1899|_theData|2
689|10818-8.txt|Sport and Work on the Nepaul Frontier|James Inglis|1878|_theData|2
690|10826-8.txt|The Book-Bills of Narcissus|Le Gallienne Richard|1892|_theData|2
692|10828-8.txt|Roman History, Books I-III|Titus Livius|1823|_theData|2
703|10840.txt|The Explorers of Australia and their Life-work|Ernest Favenc|1888|_theData|1
707|10846-8.txt|Seekers after God|Frederic William Farrar|1892|_theData|2
711|1085.txt|The Life of John Sterling|Thomas Carlyle|1884|_theData|1
714|10852-8.txt|Hardy Ornamental Flowering Trees and Shrubs|A D Webster|1893|_theData|2
715|10853.txt|Our Gift|Teachers of the School Street Universalist Sunday School Boston|1851|_theData|1
720|10858-8.txt|A Compilation of the Messages and Papers of the Presidents,|Edited by James D Richardson|1897|_theData|27
721|10859.txt|Paul and Virginia|Bernadin de SaintPierre|1800|_theData|2
724|10861-8.txt|Paris under the Commune|John Leighton|1871|_theData|2
728|10866.txt|The Dolorous Passion of Our Lord Jesus Christ|Anna Catherine Emmerich|1862|_theData|1
748|10884-8.txt|A Publisher and His Friends|Samuel Smiles|1891|_theData|2
759|10898-8.txt|American Scenes, and Christian Slavery|Ebenezer Davies|1849|_theData|2
768|10905-8.txt|Phantom Fortune, A Novel|M E Braddon|1883|_theData|2
771|1091.txt|Heroes and Hero Worship|Thomas Carlyle|1869|_theData|1
782|10922-8.txt|Young Lives|Richard Le Gallienne|1899|_theData|2
784|10924-8.txt|The Lands of the Saracen|Bayard Taylor|1855|_theData|2
786|10926-8.txt|Saxe Holm's Stories|Helen Hunt Jackson|1878|_theData|2
788|10929-8.txt|The Dog Crusoe and His Master|Robert Michael Ballantyne|1894|_theData|3
798|10938-8.txt|The Headsman|James Fenimore Cooper|1833|_theData|2
817|10958-8.txt|An Unwilling Maid|Jeanie Gould Lincoln|1897|_theData|2
833|10973-8.txt|The Late Mrs. Null|Frank Richard Stockton|1889|_theData|2
845|10985-8.txt|The Infant System|Samuel Wilderspin|1834|_theData|2
853|10992-8.txt|Cleopatra|Jacob Abbott|1851|_theData|6
859|10998-8.txt|A Catechism of the Steam Engine|John Bourne|1847|_theData|2
863|11.txt|Alice's Adventures in Wonderland|Lewis Carroll|1898|_theData|4
865|110-8.txt|Tess of the d'Urbervilles|Thomas Hardy|1892|_theData|2
878|11013-8.txt|Letters of a Traveller|William Cullen Bryant|1850|_theData|2
887|11025.txt|Phaethon|Charles Kingsley|1854|_theData|1
891|11029-8.txt|American Hero-Myths|Daniel G Brinton|1882|_theData|2
897|11039.txt|A Woman's Journey Round the World|Ida Pfeiffer|1851|_theData|1
902|11050-8.txt|Taquisara|F Marion Crawford|1896|_theData|2
910|11058-8.txt|Jack Archer|G A Henty|1884|_theData|2
914|11062-8.txt|The Dozen from Lakerim|Rupert Hughes|1899|_theData|2
915|11063-8.txt|A Man of Mark|Anthony Hope|1895|_theData|2
920|11068-8.txt|The Spirit of the Age|William Hazlitt|1825|_theData|2
930|11082-8.txt|Old Saint Paul's|William Harrison Ainsworth|1850|_theData|2
933|11085-8.txt|M. or N. "Similia similibus curantur."|GJ WhyteMelville|1869|_theData|2
944|11097.txt|Young Robin Hood|G Manville Fenn|1899|_theData|1
950|11102-8.txt|History of Negro Soldiers in the Spanish-American War, and Other Items of Interest|Edward A Johnson|1899|_theData|2
958|11111.txt|Only An Irish Boy|Horatio Alger Jr|1874|_theData|1
966|11119-8.txt|Personal Memoirs Of A Residence Of Thirty Years With The Indian Tribes On The American Frontiers|Henry Rowe Schoolcraft|1851|_theData|2
968|11120.txt|Hurrah for New England!|Louisa C Tuthill|1847|_theData|1
969|11121.txt|The Bracelets|Maria Edgeworth|1848|_theData|1
970|11122-8.txt|Choice Specimens of American Literature, And Literary Reader|Benj N Martin|1874|_theData|2
982|11137.txt|Twenty-Two Years a Slave, and Forty Years a Freeman|Austin Steward|1857|_theData|1
984|11140.txt|Rollo at Play|Jacob Abbott|1868|_theData|1
985|11141-8.txt|A Summer in Leslie Goldthwaite's Life.|Mrs A D T Whitney|1867|_theData|2
992|11148.txt|Aunt Harding's Keepsakes|Anonymous|1851|_theData|1
1003|11160-8.txt|A Cotswold Village|J Arthur Gibbs|1898|_theData|2
1020|1118.txt|Much Ado About Nothing|William Shakespeare|1806|_theData|2
1044|11203.txt|Narrative of a Survey of the Intertropical and Western Coasts of Australia|Phillip Parker King|1827|_theData|1
1050|11214.txt|The Garies and Their Friends|Frank J Webb|1857|_theData|1
1057|11224-8.txt|Utilitarianism|John Stuart Mill|1871|_theData|2
1062|11229-8.txt|The Purple Cloud|MP Shiel|1898|_theData|2
1064|11231.txt|Bartleby, The Scrivener|Herman Melville|1853|_theData|1
1072|11242-8.txt|The Life of Michelangelo Buonarroti|John Addington Symonds|1893|_theData|2
1073|11243-8.txt|Miles Wallingford|James Fenimore Cooper|1844|_theData|2
1077|11249-8.txt|Four Famous American Writers: Washington Irving, Edgar Allan Poe,|Sherwin Cody|1899|_theData|2
1080|11252-8.txt|Martin Hewitt, Investigator|Arthur Morrison|1894|_theData|2
1082|11254-8.txt|Poetical Works of Johnson, Parnell, Gray, and Smollett|Samuel Johnson Thomas Parnell Thomas Gray and Tobias Smollett|1855|_theData|2
1090|11263-8.txt|The Adventures of a Special Correspondent|Jules Verne|1800|_theData|2
1092|11268.txt|The Flood|Anonymous|1851|_theData|4
1094|11270-8.txt|A Practical Illustration of Woman's Right to Labor|Marie E Zakrzewska|1860|_theData|2
1108|11290-8.txt|Emilie the Peacemaker|Mrs Thomas Geldart|1859|_theData|2
1109|11297-0.txt|Travels through the Empire of Morocco|John Buffa|1810|_theData|2
1121|11319-8.txt|The Fairy Godmothers and Other Tales|Mrs Alfred Gatty|1851|_theData|2
1128|11329-8.txt|Lands of the Slave and the Free|Henry A Murray|1855|_theData|2
1133|11339-8.txt|Aesop's Fables|Aesop|1848|_theData|9
1136|11346.txt|The Saint's Tragedy|Charles Kingsley|1844|_theData|1
1140|11353-8.txt|History of Liberia|JHT McPherson|1891|_theData|2
1153|11371-0.txt|The Moorland Cottage|Elizabeth Cleghorn Gaskell|1851|_theData|3
1157|11376-8.txt|Autobiographical Sketches|Annie Besant|1885|_theData|2
1161|11381.txt|Sermons for the Times|Charles Kingsley|1878|_theData|1
1170|11398-0.txt|A further contribution to the study of the mortuary customs of the North American Indians|H C Yarrow|1881|_theData|5
1173|1140.txt|Latter-Day Pamphlets|Thomas Carlyle|1850|_theData|1
1177|11409-8.txt|The Red Rover|James Fenimore Cooper|1827|_theData|2
1180|11413.txt|The Refugees|Arthur Conan Doyle|1893|_theData|1
1192|11427-8.txt|A Grandmother's Recollections|Ella Rodman|1851|_theData|2
1198|11435.txt|Small Means and Great Ends|Edited by Mrs M H Adams|1858|_theData|1
1202|11439.txt|The Snow-Drop|Sarah S Mower|1851|_theData|1
1211|1145-0.txt|Rupert of Hentzau|Anthony Hope|1898|_theData|1
1220|11468-8.txt|Darkest India|Commissioner BoothTucker|1891|_theData|2
1233|1148-0.txt|The Itinerary of Archbishop Baldwin through Wales|Giraldus Cambrensis|1806|_theData|1
1237|11483-8.txt|The Life and Letters of Lewis Carroll|Stuart Dodgson Collingwood|1898|_theData|2
1240|1149.txt|From London to Land's End|Daniel Defoe|1888|_theData|1
1257|11509-8.txt|The Life of Jesus Christ for the Young|Richard Newton|1880|_theData|2
1262|11514-8.txt|Balcony Stories|Grace E King|1893|_theData|2
1266|11521-8.txt|A Beleaguered City|Mrs Oliphant|1880|_theData|2
1278|11535-8.txt|Views a-foot|J Bayard Taylor|1853|_theData|2
1279|11536.txt|Town and Country Sermons|Charles Kingsley|1868|_theData|1
1283|11547-8.txt|Blackfoot Lodge Tales|George Bird Grinnell|1893|_theData|2
1285|11549-8.txt|The Life and Letters of Elizabeth Prentiss|George L Prentiss|1882|_theData|2
1290|11555-8.txt|Our Farm of Four Acres and the Money we Made by it|Miss Coulton|1859|_theData|2
1291|11556-8.txt|Facing the Flag|Jules Verne|1897|_theData|2
1292|11557-8.txt|On Compromise|John Morley|1886|_theData|2
